location_code,location_name,location_level,language_code,language_name,language_rank,proportion_value,reliability_score,dataset_name,url,source,datetime_published,date_creation,representivity_rating
MZ10,Tete,1,ndau1241,Ndau,5,0.006686581768854976,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ10,Tete,1,shon1251,Shona,6,0.006096589259838359,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ10,Tete,1,nucl1396,Sena,4,0.12220711503430849,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ10,Tete,1,nyun1248,Nyungwe,3,0.16356319136194372,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ10,Tete,1,chew1246,Chewa,2,0.324560078544832,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ07,Nampula,1,port1283,Portuguese,2,0.318235078251715,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ07,Nampula,1,Unknown,Unknown,3,0.006369602274466833,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ07,Nampula,1,lomw1241,Mozambique Lomwe,4,0.004262177025343508,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ07,Nampula,1,makh1264,Makhuwa,1,0.6711331424484747,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ01,Cabo Delgado,1,port1283,Portuguese,2,0.25188498664505504,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ01,Cabo Delgado,1,mako1251,Makonde,3,0.031721246661263754,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ01,Cabo Delgado,1,makh1264,Makhuwa,1,0.7163937666936813,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ08,Niassa,1,mwan1247,Mwani,6,0.014447290134200923,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ08,Niassa,1,port1283,Portuguese,2,0.24627263351654757,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ08,Niassa,1,yaoo1241,Yao,1,0.3280605758620848,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ08,Niassa,1,nyan1308,Nyanja,4,0.09567063781781877,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ08,Niassa,1,makh1264,Makhuwa,3,0.23057149471463842,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ08,Niassa,1,chew1246,Chewa,5,0.08497736795470948,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ02,Gaza,1,chan1318,Changana,1,0.5226093742240996,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ02,Gaza,1,port1283,Portuguese,2,0.45595012476719027,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ02,Gaza,1,chuw1238,Chuwabu,3,0.021440501008710172,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ04,Manica,1,chew1246,Chewa,8,0.008361858010444876,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ04,Manica,1,bama1251,Bamali,9,0.006833097266153013,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ04,Manica,1,sout2918,Southern Sama,6,0.025479345738197705,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ04,Manica,1,port1283,Portuguese,1,0.2673720084438883,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ04,Manica,1,Unknown,Unknown,3,0.22046172004692524,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ04,Manica,1,lomw1241,Mozambique Lomwe,7,0.009705314422095294,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ04,Manica,1,ndau1241,Ndau,2,0.2493623228438469,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ04,Manica,1,shon1251,Shona,5,0.05602738167879912,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ04,Manica,1,nucl1396,Sena,4,0.15639695154964953,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ09,Sofala,1,makh1264,Makhuwa,4,0.016109331601035125,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ09,Sofala,1,port1283,Portuguese,1,0.3902102786954168,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ09,Sofala,1,ndau1241,Ndau,3,0.2530753338287127,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ09,Sofala,1,nucl1396,Sena,2,0.3406050558748353,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ11,Zambezia,1,makh1264,Makhuwa,8,0.0076503751154314995,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ11,Zambezia,1,swah1253,Swahili,8,0.0076503751154314995,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ11,Zambezia,1,chew1246,Chewa,3,0.14471061662006326,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ11,Zambezia,1,port1283,Portuguese,2,0.23464966563358713,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ11,Zambezia,1,Unknown,Unknown,4,0.11623848647735796,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ11,Zambezia,1,chuw1238,Chuwabu,5,0.08959825585136964,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ11,Zambezia,1,lomw1241,Mozambique Lomwe,1,0.3432362140945203,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ11,Zambezia,1,mako1251,Makonde,9,0.003242348480419744,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ11,Zambezia,1,nucl1396,Sena,6,0.05302366261181893,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ05,Maputo,1,gito1238,Gitonga,4,0.016864858310133693,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ05,Maputo,1,chan1318,Changana,2,0.43847121772853614,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ05,Maputo,1,bama1251,Bamali,5,0.009133426070549866,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ05,Maputo,1,port1283,Portuguese,1,0.5103253816813357,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ05,Maputo,1,rong1268,Ronga,3,0.017609460854854722,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
MZ05,Maputo,1,nucl1396,Sena,6,0.007595655354589937,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 20:46:06,moderate
